event1 event2 CC dt_sec evla_eq1 evlo_eq1 evdp_eq1_km evla_eq2 evlo_eq1 evdp_eq2_km  
20021102025633 20060311162210 0.95   -2.94250   2.48  95.77  23.80   2.62  95.90  23.80
20021102025633 20080220091126 0.95   -3.06870   2.48  95.77  23.80   2.54  95.83  25.30
20021102025633 20100404124314 0.95   -2.63120   2.48  95.77  23.80   2.56  95.83  25.00
20021102025633 20120520161137 0.93   -4.47860   2.48  95.77  23.80   2.54  95.88  42.10
20021102025633 20151220024801 0.95   -2.21250   2.48  95.77  23.80   2.52  95.88  25.00
20030806052432 20050623032621 0.90   -8.92960   1.34  98.56  33.00   1.76  98.92 111.40
20030806052432 20050823123909 0.85    2.71870   1.34  98.56  33.00   1.21  98.01  30.00
20030806052432 20170318121208 0.85   -1.84060   1.34  98.56  33.00   1.45  98.49  35.00
20040907032300 20140804120946 0.98   -0.94570   0.07  98.70  59.40   0.12  98.60  48.00
20040918211601 20090325082834 0.87    4.61660   1.52  99.02  33.70   1.01  97.17  30.00
20040925083726 20050428093643 0.91   -1.75910   2.47  95.86  22.00   2.48  95.91  30.90
20040925083726 20051031193346 0.92   -0.46810   2.47  95.86  22.00   2.42  95.88  22.40
20040925083726 20080807212735 0.89   -5.02480   2.47  95.86  22.00   2.41  95.84  44.10
20040925083726 20090323015317 0.87   -2.90610   2.47  95.86  22.00   2.38  95.83  25.00
20040925083726 20100606204406 0.92   -2.89480   2.47  95.86  22.00   2.45  95.81  25.00
20040925083726 20131113223604 0.93   -2.80040   2.47  95.86  22.00   2.42  95.79  25.00
20040925083726 20170826153043 0.89   -2.35170   2.47  95.86  22.00   2.45  95.81  25.00
20041226034021 20041230042733 0.95    9.10910   1.56  97.35  33.00   1.01  97.17  30.00
20041226040048 20061118135509 0.85   -0.23540   1.01  97.17  30.00   1.01  97.17  30.00
20041226040048 20101023194237 0.85    2.55870   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20041227164458 0.89    0.06130   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20041230014255 0.89   -0.25180   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20041230112632 0.86    0.26210   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20050101004727 0.92   -5.44650   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20050102040116 0.90    2.16460   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20050104151825 0.89   -1.93550   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20050329125607 0.88   -2.45540   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20050404193653 0.94    2.90880   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20050920145937 0.85    4.15400   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20061012053020 0.87    2.73080   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20090325082834 0.90   -8.62820   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20100210012134 0.86   -1.61660   1.01  97.17  30.00   1.60  97.05  38.20
20041226134355 20100602020442 0.85   -1.53830   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20101023194237 0.96    4.15600   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20110717013201 0.87   -4.28820   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20131019014705 0.92    3.08280   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20160801174601 0.85    0.29930   1.01  97.17  30.00   1.01  97.17  30.00
20041226134355 20170512110458 0.88    2.17320   1.01  97.17  30.00   1.01  97.17  30.00
20041227001538 20050927165219 0.93    0.85980   2.17  96.28  30.00   2.26  96.25  26.70
20041227001538 20061211041531 0.90   -0.55830   2.17  96.28  30.00   2.26  96.09  18.30
