event1 event2 CC dt_sec
20050328184137 20050621041931 0.92 -0.7427
20050328184137 20050806104411 0.91 -1.0277
20050328184137 20060522125136 0.90 -5.3962
20050328184137 20080503105138 0.87 -3.2745
20050328191840 20050329071648 0.86 -3.2762
20050328191840 20050330083813 0.88 -2.7916
20050328191840 20050404112708 0.89 0.1001
20050328191840 20050408080317 0.85 -1.4159
20050328191840 20050904073518 0.87 -1.1710
20050328191840 20061021115304 0.87 -3.5347
20050328191840 20080303200522 0.87 -5.4784
20050328191840 20090628133142 0.88 -3.0937
20050328191840 20191015185650 0.86 -2.2439
20050328194144 20050908223855 0.87 0.5667
20050328194144 20060709050958 0.86 -1.7457
20050328194144 20100823113735 0.86 -1.0571
20050328203143 20050330195130 0.86 -2.6886
20050328203515 20050421175049 0.85 0.4360
20050328203515 20060412143904 0.90 -3.2402
20050328205944 20050328205954 1.00 -10.0268
20050328210107 20050329211707 0.86 -1.7906
20050328211203 20080225180553 0.86 -2.5764
20050328211203 20080402190823 0.85 -3.3348
20050328211203 20080603224943 0.87 -7.5832
20050328211203 20110831033530 0.85 -9.6474
20050328211203 20170109112819 0.88 -7.9098
20050328211203 20190310075425 0.85 -3.4706
20050328212634 20050401162024 0.94 -2.2158
20050328213358 20050328213408 1.00 -10.0052
20050328215018 20141208191819 0.90 -2.9781
20050328215255 20050514004222 0.87 4.9939
20050328215255 20110211054251 0.87 0.0072
20050328222302 20050402211031 0.85 3.8499
20050328232029 20050329144329 0.91 -0.7390
20050328232029 20050403071511 0.91 -1.8727
20050328232029 20050410152459 0.90 -2.5281
20050328232029 20050417153137 0.88 0.5643
20050328232029 20050425055615 0.90 -2.3167
20050328232029 20050515163149 0.90 -0.0708
20050328232029 20050701165743 0.91 0.0562
20050328232029 20050730045649 0.86 -0.7436
20050328232029 20050825092432 0.90 0.4986
20050328232029 20051101002645 0.90 -2.7124
20050328232029 20060205061337 0.90 -3.8043
20050328232029 20060807182923 0.89 -4.4003
20050328232029 20070502015541 0.89 -3.3293
20050328232029 20080518134221 0.88 -2.9293
20050329003547 20050405182523 0.87 -0.0857
20050329003547 20050423044136 0.87 0.6179
20050329003547 20050517182029 0.87 0.6987
20050329003547 20050627120740 0.86 0.6501
20050329003547 20070412111533 0.86 -1.1146
20050329003547 20100407050510 0.86 -1.0732
20050329003547 20100409155914 0.86 -1.9549
20050329003547 20140831055826 0.87 -0.9859
20050329003841 20050423054654 0.93 0.6192
20050329005602 20050331070931 0.94 1.2311
20050329005602 20050405124056 0.86 0.1448
20050329005602 20050416114039 0.91 0.2872
20050329005602 20050728003853 0.88 -3.7834
20050329005602 20050728005954 0.90 -0.3660
20050329021259 20050423222905 0.92 3.7499
20050329021259 20050605013532 0.90 2.7985
20050329021259 20050718031731 0.86 3.1882
20050329021259 20101002073936 0.89 1.5666
20050329021259 20140705111639 0.91 1.8787
20050329022135 20050401015509 0.87 0.5002
20050329022135 20050417114123 0.87 0.9082
20050329022135 20051015074404 0.87 -1.3431
20050329022135 20060302223708 0.86 -1.2701
20050329023644 20050330143817 0.88 1.2278
20050329023644 20050404220715 0.88 3.4482
20050329023644 20050421220702 0.88 1.5276
20050329023644 20050702110428 0.87 2.7046
20050329023644 20050905152010 0.86 2.0074
20050329023644 20060131131925 0.86 -1.9856
20050329023644 20060801215636 0.86 -1.7762
20050329024036 20050330181646 0.96 0.7622
20050329024036 20050403134015 0.92 -0.0310
20050329024036 20050410005516 0.95 1.5697
20050329024036 20050417011029 0.89 1.1886
20050329024036 20050511033853 0.86 -0.1062
20050329024036 20050530090233 0.96 0.9891
20050329024036 20050630095419 0.89 -0.0209
20050329024036 20050802071544 0.92 -0.8487
20050329024036 20051019184754 0.92 -0.1354
20050329024036 20060122045045 0.92 -2.1465
20050329024036 20060617180935 0.86 -2.3793
20050329024036 20070210081021 0.86 -4.6814
20050329024036 20071028175131 0.85 -3.1732
20050329024036 20081026095056 0.87 -2.1841
20050329024036 20100930214719 0.88 -0.9238
20050329024036 20120626170845 0.89 -0.2551
20050329024036 20190302223032 0.90 -0.7625
20050329032349 20050401004940 0.88 -0.7467
20050329032349 20050409091200 0.89 -0.0399
20050329032349 20050415213229 0.91 -0.2466
20050329032349 20050512022919 0.90 -0.4891
20050329032349 20050706224157 0.90 -0.3576
