station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
II.DGAR.00.BHZ,2005-04-27T05:02:05.09,2005-08-15T19:56:28.81,"[-0.30962419649186396, -0.17806765449980713]","[0.1627752237000133, 0.14977524211652538]","[0.6355149172913576, 0.47132291599346876]","[0.4981964154329595, 0.6023197690392714]","[0.8441102742441484, 0.7620491768005294]","[0.6945566973117094, 0.5530327793296588]","[0.1627752237000133, 0.14977524211652538]"
II.DGAR.00.BHZ,2005-04-27T05:02:05.09,2005-10-20T00:47:46.41,"[0.16590349045392486, 0.27450651002186977]","[0.6312963520857222, 0.6015747618827717]","[1.0982608543312935, 0.9201750768930638]","[0.5587566795307154, 0.633189879521885]","[0.8059070866936414, 0.7265801720033288]","[0.6114313004631193, 0.5026959701803805]","[0.6312963520857222, 0.6015747618827717]"
II.DGAR.00.BHZ,2005-04-27T05:02:05.09,2006-01-26T20:04:39.12,"[1.1581128665733171, 1.340326334809658]","[1.6233260396465496, 1.6632811641966236]","[2.083991037212325, 1.9834459740651305]","[0.4457281753984793, 0.553317945354282]","[0.8039301119279585, 0.8182222161655432]","[0.7579098684019404, 0.6933907662722394]","[1.6233260396465496, 1.6632811641966236]"
II.DGAR.00.BHZ,2005-04-27T05:02:05.09,2009-04-11T00:03:30.73,"[-0.02287968486749326, 0.07192531142917966]","[0.43605635082122174, 0.39537968143389524]","[0.8967407310776212, 0.7103739100630065]","[0.6636171580505351, 0.479064381005407]","[0.8537470101448439, 0.6023790412559584]","[0.6390972184627605, 0.43140598284519216]","[0.43605635082122174, 0.39537968143389524]"
II.DGAR.00.BHZ,2005-04-27T06:58:46.14,2006-02-16T19:47:32.75,"[-1.6737931548028964, -1.4716897960295703]","[-1.1919868175459158, -1.137728140915601]","[-0.7123272029812093, -0.8013666379655734]","[0.496444357799769, 0.3703567357331642]","[0.802530563005424, 0.6913016806277672]","[0.697881886062457, 0.7311598815374754]","[-1.1919868175459158, -1.137728140915601]"
II.DGAR.00.BHZ,2005-04-27T06:58:46.14,2014-11-12T06:01:40.93,"[-0.31880966199586824, -0.1625310872297221]","[0.15997262439439908, 0.1654034462025551]","[0.6390334646434392, 0.49136774549299345]","[0.6608519536542401, 0.5981209891269089]","[0.8685875868981378, 0.8636670068995969]","[0.6001651346188088, 0.716687712198761]","[0.15997262439439908, 0.1654034462025551]"
II.DGAR.00.BHZ,2005-04-27T11:48:59.37,2009-11-01T19:02:16.03,"[-0.040881053883493376, 0.09334433620085064]","[0.4463167912385537, 0.4407523537426261]","[0.9330092374538693, 0.7893009065250749]","[0.6774151035705684, 0.49400288892379884]","[0.8708223057694432, 0.5935948944055279]","[0.7550728868189507, 0.38434185609782356]","[0.4463167912385537, 0.4407523537426261]"
II.DGAR.00.BHZ,2005-04-28T09:36:44.63,2005-10-31T19:33:47.59,"[0.9655123989140482, 1.084978303573414]","[1.4210554820432666, 1.4356330924039726]","[1.875758710958018, 1.789124567873353]","[0.6245390878138048, 0.3332849973175433]","[0.8030950388165508, 0.5137256468606347]","[0.6672018881688693, 0.451540997194182]","[1.4210554820432666, 1.4356330924039726]"
II.DGAR.00.BHZ,2005-04-28T09:36:44.63,2006-10-16T12:07:53.4,"[-0.6534913306556094, -0.5672576540856118]","[-0.19357187504034631, -0.21589217364601318]","[0.27740829296022745, 0.13247063552512406]","[0.651880440919508, 0.49925883123442194]","[0.7683742232466803, 0.6408562489343765]","[0.5928465950621272, 0.4917786211643159]","[-0.19357187504034631, -0.21589217364601318]"
II.DGAR.00.BHZ,2005-04-28T09:36:44.63,2008-08-07T21:27:32.84,"[0.09985159765102772, 0.23033248514887145]","[0.5588701315608149, 0.5697629737935636]","[1.0150745071385443, 0.9114369597373159]","[0.6360497602318337, 0.43331974897722053]","[0.7675360965522946, 0.5745500353945123]","[0.6039360766493822, 0.4862914448317056]","[0.5588701315608149, 0.5697629737935636]"
II.DGAR.00.BHZ,2005-04-28T09:36:44.63,2012-01-26T17:45:12.65,"[-0.28532890253488624, -0.1701833914318246]","[0.17083551277315598, 0.1796126460879319]","[0.6290602645763861, 0.5280227586269481]","[0.714619636189301, 0.4779161107340396]","[0.8790067532032575, 0.7019392033791167]","[0.7194191484561766, 0.5938965395161844]","[0.17083551277315598, 0.1796126460879319]"
II.DGAR.00.BHZ,2005-04-28T09:36:44.63,2013-11-13T22:36:04.11,"[0.3192644618990541, 0.4466069493682847]","[0.7729269921000783, 0.7896176150312828]","[1.2300944664806748, 1.1351850818937383]","[0.6521905023728942, 0.4111689794086816]","[0.8335930781211853, 0.6595218216871713]","[0.7434511946387327, 0.5604191229787893]","[0.7729269921000783, 0.7896176150312828]"
II.DGAR.00.BHZ,2005-04-28T12:54:41.35,2005-06-05T04:49:04.08,"[-0.22429691951275096, -0.09954012382700451]","[0.2363750883875077, 0.22759993355923158]","[0.6957028587491363, 0.5575740535628555]","[0.7591890543248708, 0.5990790911801789]","[0.8994100162614105, 0.8315761550985963]","[0.562330111955099, 0.567384991034229]","[0.2363750883875077, 0.22759993355923158]"
II.DGAR.00.BHZ,2005-04-28T12:54:41.35,2005-07-28T07:11:54.79,"[-0.5668432768518992, -0.42177795531411977]","[-0.10358628832407143, -0.09167348171016461]","[0.35685917974734416, 0.24002849044680805]","[0.7129613018185242, 0.3572814157292901]","[0.8322175862274286, 0.6610675711833007]","[0.5434666572089049, 0.5317642627193939]","[-0.10358628832407143, -0.09167348171016461]"
