station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
H08S2,2005-03-31T04:35:53.14,2005-07-10T07:38:48.95,"[1.0384459991646628, 1.1463735998462175]","[1.4855534444402128, 1.47760319558874]","[1.9487253024904698, 1.8069895023076903]","[0.5967306583663046, 0.5429537892178355]","[0.8897987840265589, 0.7494831332423438]","[0.5528611326387369, 0.6713470372595751]","[1.4855534444402128, 1.47760319558874]"
H08S2,2005-03-31T04:35:53.14,2005-09-23T05:18:51.18,"[-0.7640786995115056, -0.6557984998767353]","[-0.3100770205116906, -0.32178253010093877]","[0.15465606137066268, 0.013935675142415263]","[0.6152319443663067, 0.6347700954439566]","[0.8925270728986868, 0.7461042175128834]","[0.5147150881609937, 0.6336597557442567]","[-0.3100770205116906, -0.32178253010093877]"
H08S2,2005-03-31T04:35:53.14,2005-12-30T20:00:30.66,"[1.215476945777558, 1.3064604826992954]","[1.6543018119199693, 1.6505981663415807]","[2.118946142272138, 1.9793472577417848]","[0.5133095345555544, 0.3651439879361465]","[0.8397317199961505, 0.6060166489038233]","[0.543835788397653, 0.6254530542817885]","[1.6543018119199693, 1.6505981663415807]"
H08S2,2005-03-31T04:35:53.14,2008-10-11T12:32:29.98,"[-1.2908853361675716, -1.1879583080556106]","[-0.8400440976269653, -0.8565385382889048]","[-0.3804535856692726, -0.5275955654280206]","[0.5786974013678035, 0.642074350253498]","[0.8820939038995466, 0.7774466660443415]","[0.5534855265041319, 0.6302670554937809]","[-0.8400440976269653, -0.8565385382889048]"
H08S2,2005-03-31T04:35:53.14,2009-09-05T08:19:35.3,"[-1.127624125156751, -1.0102354413640149]","[-0.6636798698239951, -0.678680842780046]","[-0.2068445249599471, -0.34229397838565956]","[0.6126009572716066, 0.7202996766301318]","[0.8707343346794673, 0.710277590525812]","[0.5515628657616458, 0.4809077193596063]","[-0.6636798698239951, -0.678680842780046]"
H08S2,2005-03-31T04:35:53.14,2015-01-14T22:08:30.64,"[0.18915942140632142, 0.306237166349735]","[0.639685735853875, 0.6434413359624526]","[1.0998267649703743, 0.97504699056639]","[0.5426893364583544, 0.45525471458525685]","[0.8977002789691185, 0.6669504941310277]","[0.6086214924254638, 0.6046612678904704]","[0.639685735853875, 0.6434413359624526]"
H08S2,2005-03-31T11:33:48.0,2005-04-09T13:51:21.98,"[-0.05018638522661012, 0.027861630167862354]","[0.4028406888283666, 0.37344816765205713]","[0.860033337692796, 0.7150313886446898]","[0.677407617170394, 0.6293035820958565]","[0.8614000215868104, 0.6849993318082024]","[0.5633670945065171, 0.45367520134634415]","[0.4028406888283666, 0.37344816765205713]"
H08S2,2005-03-31T12:33:14.33,2005-04-04T03:05:48.22,"[-1.1983345497909947, -1.1129806592915756]","[-0.7606212620100713, -0.7733850557468424]","[-0.323463061625901, -0.43592259534982436]","[0.7128074666975894, 0.5888958045063268]","[0.8963597396506051, 0.7231269066203444]","[0.7352842426723625, 0.42307109458316067]","[-0.7606212620100713, -0.7733850557468424]"
H08S2,2005-03-31T12:33:14.33,2005-04-12T04:52:24.45,"[-0.820197868065096, -0.7603786532335127]","[-0.38107339699250425, -0.41947651288330884]","[0.05788604701995095, -0.08931230882932506]","[0.6229168602622843, 0.6039421545894944]","[0.8023925389998734, 0.5652503608364949]","[0.6701245048707835, 0.22032152944409608]","[-0.38107339699250425, -0.41947651288330884]"
H08S2,2005-03-31T12:33:14.33,2005-04-19T09:07:56.15,"[-1.6214648939548384, -1.5667945359516684]","[-1.1815067700296562, -1.2190783201009447]","[-0.7386436731795175, -0.8829327825591742]","[0.6806887694487752, 0.5203167259990389]","[0.8479430043628781, 0.5355558473653657]","[0.6879217786833288, 0.2623698315627501]","[-1.1815067700296562, -1.2190783201009447]"
