station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
II.DGAR.00.BHZ,2005-04-02T05:55:04.58,2008-09-29T20:21:36.91,"[-3.0074503331672457, -2.877942939275933]","[-2.5566618327820967, -2.558560515885617]","[-2.107545312968125, -2.241416461182636]","[0.48400383233705097, 0.6841179531756226]","[0.8514415571179259, 0.8347499134050036]","[0.6120593833076778, 0.6076390244031739]","[-2.5566618327820967, -2.558560515885617]"
II.DGAR.00.BHZ,2005-04-02T05:55:04.58,2010-02-23T13:24:11.33,"[-3.1588955128048792, -3.006963682790463]","[-2.7123303357578292, -2.6838099695055875]","[-2.2707946442118714, -2.3527829030717315]","[0.4762761638024168, 0.42983086715913577]","[0.8014438290093516, 0.6581672631638251]","[0.5884853951564057, 0.5392941182276649]","[-2.7123303357578292, -2.6838099695055875]"
II.DGAR.00.BHZ,2005-04-02T05:55:04.58,2012-01-22T00:55:37.91,"[-1.1867309805256134, -0.9912515016635725]","[-0.7278113601820727, -0.6813036781019481]","[-0.2695162724615601, -0.3653060968871557]","[0.35745649730960927, 0.5220249959330051]","[0.7790997839739906, 0.7336342633610666]","[0.6751339478290135, 0.6585918081122731]","[-0.7278113601820727, -0.6813036781019481]"
II.DGAR.00.BHZ,2005-04-02T05:55:04.58,2013-01-01T20:05:00.64,"[-1.3201646519672292, -1.175890793256041]","[-0.8662205985072812, -0.8537829176156388]","[-0.4130391707948976, -0.5356686695368422]","[0.477603261852415, 0.49961273788144195]","[0.800974176330944, 0.7434055344301425]","[0.561197550805322, 0.6643186700527862]","[-0.8662205985072812, -0.8537829176156388]"
II.DGAR.00.BHZ,2005-04-02T05:55:04.58,2015-07-22T00:12:05.95,"[-1.6379443441174495, -1.4873819777707544]","[-1.185741371449698, -1.168642625948352]","[-0.7374099491034448, -0.8444116813537432]","[0.5374288484171725, 0.5471696931028464]","[0.7830450812659723, 0.7358585791329507]","[0.49632081543522494, 0.6148382792839504]","[-1.185741371449698, -1.168642625948352]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2005-04-12T09:56:38.9,"[-0.29830325074411784, -0.17712324232490143]","[0.1933771923998027, 0.1583230906676251]","[0.6913030664952481, 0.4873331826279785]","[0.6516209302407828, 0.7136012246376676]","[0.937801052745972, 0.7871743854757389]","[0.739007661629115, 0.5320678559129807]","[0.1933771923998027, 0.1583230906676251]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2005-06-10T20:02:07.04,"[-1.4183934752527845, -1.3084316158514828]","[-0.9260033110548586, -0.9685700233557539]","[-0.4249423732275892, -0.6336526692126142]","[0.7297492161918944, 0.7083717469085016]","[0.8958618263907318, 0.8089878319041731]","[0.6366231111966414, 0.61986705245612]","[-0.9260033110548586, -0.9685700233557539]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2005-07-10T07:38:48.95,"[-0.1559166602286259, 0.0014936037611493098]","[0.333445537699415, 0.34101925630979446]","[0.8265909650720308, 0.6787174340962906]","[0.5603635849559658, 0.5281262711305503]","[0.895376380874525, 0.7428365822261291]","[0.7815861584194449, 0.644565878801113]","[0.333445537699415, 0.34101925630979446]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2005-09-23T05:18:51.18,"[-1.9392668622435523, -1.801347483593003]","[-1.4513992318215965, -1.4609795048225664]","[-0.9590123843861827, -1.124929271525657]","[0.6510193086769201, 0.6687082222617127]","[0.9226654259586875, 0.8099172999602624]","[0.7409079088059737, 0.6489722446051709]","[-1.4513992318215965, -1.4609795048225664]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2006-04-08T06:21:05.62,"[-0.48040410956154445, -0.3359632374848064]","[0.003317086868255566, 0.0030132293245466804]","[0.4901687569928039, 0.3397249529167779]","[0.6940632511405417, 0.46516054956587277]","[0.8749282447678033, 0.6425732029090079]","[0.6800140638367762, 0.5128583165482513]","[0.003317086868255566, 0.0030132293245466804]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2008-10-11T12:32:29.98,"[-2.4676581478680353, -2.3339882945329293]","[-1.9751742772036993, -1.9917078727885522]","[-1.4764104912413947, -1.6555788297187928]","[0.5644280094106532, 0.5544937456477631]","[0.8754163890738749, 0.7014195869090359]","[0.7504682873581512, 0.6069744044732437]","[-1.9751742772036993, -1.9917078727885522]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2009-09-05T08:19:35.3,"[-2.3201691573344108, -2.1948471534441363]","[-1.8343347667811842, -1.8555220700121375]","[-1.3423328983071934, -1.5194838159887218]","[0.6687566789668302, 0.6995585548273846]","[0.8987770896792759, 0.8435182567579982]","[0.7375781987075967, 0.6412883370429785]","[-1.8343347667811842, -1.8555220700121375]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2010-11-13T22:02:25.95,"[0.19033009960493233, 0.2815007645417226]","[0.6722424471705712, 0.6175800041273478]","[1.1672417992446296, 1.2669313022361819]","[0.4353266280960505, 0.5535163748878578]","[0.6428524215333581, 0.5872569905126566]","[0.5178520072695966, 0.38977700264802106]","[0.6722424471705712, 0.6175800041273478]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2012-05-02T08:35:06.98,"[-1.8098894205038945, -1.6959907737016868]","[-1.3196863224501159, -1.359039950495724]","[-0.822915578389625, -1.0250657534011258]","[0.7508317144932566, 0.6015619077574206]","[0.8957194163632644, 0.6746098324034365]","[0.6206303121914476, 0.49479049861070823]","[-1.3196863224501159, -1.359039950495724]"
II.DGAR.00.BHZ,2005-04-02T07:09:21.88,2015-01-14T22:08:30.64,"[-1.0141837855037232, -0.8381548959408379]","[-0.5246009112227132, -0.4978048725485398]","[-0.03260858724138238, -0.1626798287572495]","[0.5593454760601462, 0.39250358030697274]","[0.8910216637128155, 0.6548005880477947]","[0.787233259321121, 0.6308264243334445]","[-0.5246009112227132, -0.4978048725485398]"
II.DGAR.00.BHZ,2005-04-02T07:21:57.49,2005-04-10T06:12:55.04,"[-3.105396864418525, -3.0046811964714633]","[-2.6442087221269235, -2.6609728413878573]","[-2.1749225850886926, -2.318519497341274]","[0.6141617321463071, 0.6597947832415042]","[0.8012723610743988, 0.7921758803658798]","[0.6319869383963581, 0.5319195456625218]","[-2.6442087221269235, -2.6609728413878573]"
