pstation,event1,event2,reason
MY.KUM..BHZ,2005-02-27T17:42:43.46,2009-01-14T22:46:09.61,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2005-08-16T22:32:58.72,2009-01-14T22:46:09.61,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2005-11-01T19:10:28.92,2009-01-14T22:46:09.61,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2008-03-23T14:36:34.29,2009-01-14T22:46:09.61,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2008-08-10T17:15:41.37,2009-01-14T22:46:09.61,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2008-10-06T12:30:48.17,2009-01-14T22:46:09.61,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2009-01-14T22:46:09.61,2009-09-04T03:09:57.72,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2009-01-14T22:46:09.61,2010-04-26T12:02:34.02,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2009-01-14T22:46:09.61,2011-02-13T12:13:31.67,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2009-01-14T22:46:09.61,2012-10-31T09:56:27.40,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2009-01-14T22:46:09.61,2013-05-15T19:59:43.91,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2009-01-14T22:46:09.61,2014-01-31T19:19:45.67,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2009-01-14T22:46:09.61,2016-09-18T09:35:26.64,involves suspect event 2009-01-14T22:46:09.61
MY.KUM..BHZ,2009-01-14T22:46:09.61,2017-12-25T03:38:12.41,involves suspect event 2009-01-14T22:46:09.61
PS.PSI..BHZ,2008-02-27T13:37:31.43,2008-09-28T14:38:47.40,way out of range
PS.PSI..BHZ,2008-02-27T13:37:31.43,2012-02-06T08:47:30.00,way out of range
PS.PSI..BHZ,2008-02-27T13:37:31.43,2015-03-09T11:47:42.01,way out of range
PS.PSI..BHZ,2005-11-18T17:11:09.55,2013-09-30T08:40:24.08,uncorrected cycle skip
