time,latitude,longitude
2008-06-14T02:35:17.27,39.0203,140.8728
2008-06-14T02:36:28,38.99,140.82
2008-06-14T02:39:50.40,39.02,140.88
2008-06-14T02:40:41.59,38.8813,140.848
2008-06-14T02:53:10,38.85,140.78
2008-06-14T02:55:39.57,38.9338,140.8858
2008-06-14T02:57:12.80,39.08,140.92
2008-06-14T02:58:23.56,39.0898,140.9634
2008-06-14T03:09:20.42,38.8689,140.8733
2008-06-14T03:10:32.84,39.0874,140.8533
2008-06-14T03:13:42.10,39.07,140.94
2008-06-14T03:14:05.28,39.0813,140.8797
2008-06-14T03:48:16.60,39.12,140.94
2008-06-14T03:55:23.20,38.9738,140.9142
2008-06-14T04:10:48.02,39.1078,140.8545
2008-06-14T04:35:54.03,38.9214,140.6864
2008-06-14T04:36:28.80,38.89,140.76
2008-06-14T05:09:19.30,38.99,140.89
2008-06-14T05:09:35.59,39.1764,140.9701
2008-06-14T05:39:06.95,39.1314,140.9094
2008-06-14T05:46:13.40,38.88,140.67
2008-06-14T06:21:32.90,38.99,140.77
2008-06-14T06:31:43.80,39.12,140.93
2008-06-14T06:37:18.80,39.12,140.89
2008-06-14T06:38:15,38.88,140.85
2008-06-14T06:49:44,38.94,140.9
2008-06-14T07:02:18.83,38.9683,140.9152
2008-06-14T07:10:29.80,39.09,140.9
2008-06-14T08:11:20.71,39.1409,140.9901
2008-06-14T08:13:56.47,38.9796,140.8925
2008-06-14T08:31:57.90,39.0,141.04
2008-06-14T09:31:54,39.01,140.93
2008-06-14T09:37:52.50,39.0,140.79
2008-06-14T09:40:07.60,39.0,140.83
2008-06-14T09:43:12.91,39.0028,140.8709
2008-06-14T09:44:07.20,39.02,140.88
2008-06-14T09:52:32.20,39.04,140.86
2008-06-14T10:20:55.10,38.89,140.87
2008-06-14T11:07:28.40,38.99,140.83
2008-06-14T12:10:22.18,39.1264,140.9335
2008-06-14T13:47:42.73,38.8004,140.8235
2008-06-14T14:04:25.47,38.898,140.7749
2008-06-14T14:22:27.44,39.1543,140.9484
2008-06-14T14:44:19.40,39.01,140.93
2008-06-14T15:04:43.70,38.9126,140.8875
2008-06-14T15:23:39.03,38.8456,140.8393
2008-06-14T15:26:03.30,38.95,140.9
2008-06-14T16:36:00,38.97,140.86
2008-06-14T16:37:08.10,39.07,140.85
2008-06-14T17:25:28.83,39.0089,140.9923
2008-06-14T17:40:13.83,39.0511,140.8331
2008-06-14T17:54:41.40,39.09,140.98
2008-06-14T18:47:37.68,39.1709,140.9547
2008-06-14T19:23:25.09,38.7953,140.81
2008-06-14T21:48:44.40,39.09,140.93
2008-06-14T21:52:22.84,39.1095,141.027
2008-06-14T21:56:54.50,39.16,140.96
2008-06-14T22:04:58.70,39.03,140.86
2008-06-14T22:06:36.80,38.89,140.86
2008-06-14T23:26:20.10,39.16,140.85
